Question ID;Source Ticket;Topic;Difficulty;Question Type;Question;Choice A;Choice B;Choice C;Choice D;Correct Answer;Technical Reality;Physical Principle;Real-World Example / Analogy;Suggested Customer Response;Key Takeaway;Status;Reviewer Comments
Q001;TCK80900;Metrology and scale readability;Intermediate;MCQ;A customer requests more graduations on a pressure gauge because they want a more accurate measurement. Which statement is the most technically correct?;More graduations always improve system accuracy;More graduations improve the mechanical accuracy of the gauge;Graduation design contributes to readability, but the performance of the complete measurement system must be considered;The number of graduations has no influence at all on measurement quality;C;Graduations influence readable resolution, but they do not change the intrinsic performance of the sensing mechanism. Too few divisions can limit useful reading, while too many can make the dial crowded, slow to interpret, and difficult to read consistently. The final result depends on the mechanism, scale, pointer, viewing conditions, installation, environment, and operator.;Measurement-chain uncertainty, resolution, readability, parallax, repeatability, and human interpretation.;Consider a precise load cell accurate to 0.1% of full scale connected to a display showing only integer values. The display prevents the user from fully exploiting the sensor. Now compare it with a low-cost sensor connected to a display showing four decimal places, where the last two digits constantly change. The second system looks more precise but may provide less trustworthy information. Neither the sensor nor the display alone defines the useful performance of the complete system.;Additional graduations may improve readable resolution, but only if the scale remains clear and coherent with the gauge’s actual performance. We should evaluate the complete measurement system rather than the number of markings alone.;Useful accuracy results from a coherent measurement system, not from one impressive-looking component.;Corrected;
Q002;TCK80900;Metrology and scale readability;Beginner;True/False;Increasing the number of graduations on a pressure-gauge dial always makes the final measurement more accurate.;TRUE;FALSE;;;B;More graduations can sometimes help the operator estimate a value, but excessive graduations may reduce clarity and reading repeatability. They cannot improve the mechanical accuracy of the instrument by themselves.;Resolution is not identical to accuracy. Human readability is one contributor to the useful performance of an indicating system.;A ruler with hundreds of extremely close markings may theoretically display more information, but if users cannot distinguish or interpret the markings reliably, measurements can become less repeatable.;More graduations are useful only when they remain readable and are consistent with the actual instrument performance.;Additional information is valuable only when it can be interpreted reliably.;Corrected;
Q003;TCK80900;Metrology and measurement chains;Advanced;Advanced Engineering Thinking;A highly accurate sensing element is connected to a display that only shows integer values. A less accurate sensor is connected to a display showing four decimal places. Which system is necessarily more accurate for the user?;The first system, because the sensing element is more accurate;The second system, because the display has more decimals;Neither can be selected without evaluating the complete measurement chains and their intended use;Both systems have the same accuracy;C;The user receives a result from the complete measurement chain. Sensor accuracy, signal conditioning, conversion, transmission, display resolution, stability, calibration, environment, and reading method can all introduce limitations. A precise component does not guarantee a precise indicated result, while additional decimal places do not prove accuracy. The intended use also matters because a coarse local display could coexist with a more precise transmitted signal used by a control system.;Propagation of measurement uncertainty and the weakest-link effect within a measurement chain.;A high-quality photograph displayed on a very low-resolution screen loses visible detail. A poor-quality photograph shown on a high-resolution screen gains pixels but not genuine information. The final experience depends on both the source and the display chain.;We need to define where and how the value will be used, then evaluate every element between the physical quantity and the final decision made from the displayed or transmitted result.;Always evaluate the complete measurement chain in relation to its intended use.;Corrected;
Q004;TCK84886;Pressure range and operating envelope;Intermediate;MCQ;A process normally operates at 4 bar but can reach 6 bar during startup. What is the best engineering approach when selecting the pressure gauge?;Select a 4 bar gauge because startup is temporary;Select a 6 bar to cover both events;Select a suitable higher range (10bar) and investigate whether the peaks are slow pressure variations, pulsations, or pressure shocks;Keep the 4 bar range and add a pressure limiter below;C;The full operating envelope must be considered. A temporary condition can still overload or fatigue the sensing element. The appropriate solution depends not only on peak amplitude but also on duration and whether the event is a controlled transient or a pressure shock.;Mechanical stress, fatigue, overload, dynamic response, pulsation, and water hammer. Good practice says you should work with your operating pressure between 30 and 70% of the range.;A bridge is not designed only for average daily traffic. It must also withstand defined maximum loads and relevant dynamic events. Similarly, an instrument must be selected for credible operating conditions rather than the most common value alone.;We can first follow the good practices and offer a 10bar if few information are available. If the customer comes back with details we can confirm the choice or recommend an protection option or  accessory.;Select instruments for the credible operating envelope, not only the nominal operating point.;Corrected;
Q005;TCK84886;Pressure range and transient conditions;Beginner;True/False;A short pressure peak can be ignored when selecting a pressure gauge because the process normally operates below the gauge’s full-scale value.;TRUE;FALSE;;;B;Duration is only one aspect of a peak. A rapid pressure rise may create high dynamic loading, while repeated peaks may cause fatigue. The peak value, rise time, frequency, process conditions, and instrument construction must all be considered.;Transient loading, fatigue accumulation, and dynamic pressure effects.;A person may safely carry a moderate load for a long time but still be injured by a short, sudden impact. The size and speed of the event matter as well as its duration.;Even short peaks must be characterized. We need to know how high, how fast, and how often they occur before selecting the range or a protective accessory.;Temporary conditions are still operating conditions.;Corrected;
Q006;TCK84886;Pressure range and risk assessment;Advanced;Advanced Engineering Thinking;A customer reports a 4 bar operating pressure and occasional indications near 6 bar. Which question should be investigated first before simply recommending a higher-range gauge?;Which type of protection method he would prefer to add ?;how was the peak observed ? And details about the installation ?;Is this problematic as the gauge will resist 6bar ?;does he want to replace the gauge for safety with a new one ?;B;An indicated peak can have different causes. It may represent a genuine slow pressure increase, pulsation, water hammer, pointer oscillation, vibration, temperature effects, or an installation problem. Answer A and C are not completely wrong but starting with the context you might choose the right solution instead of just going for a stronger tube;System diagnosis, dynamic measurement response, cause-and-effect analysis, and trade-offs between range and readability.;If a car warning light appears, replacing the warning light with one that tolerates a higher voltage does not identify the fault. The first task is to determine what caused the indication.;Before changing the range, we should characterize the event and confirm whether the displayed peak represents the actual process, a dynamic effect, or an installation issue.;Diagnose the phenomenon before choosing the solution.;Corrected;
Q007;TCK90540;Diaphragm seals and fill fluid;Intermediate;MCQ;A diaphragm-seal assembly has been separated and some filling fluid has been lost. What is the correct response?;Reassemble it and adjust the pointer to zero;Add any compatible-looking oil and return it to service;Have the assembly correctly refilled, evacuated, checked, and calibrated by an appropriate facility, or replace it;Continue using it if the diaphragm is undamaged;C;The diaphragm, fill fluid, connection path, and measuring element form a closed pressure-transmission system. Fluid loss or trapped gas changes the transmission behaviour and can cause zero shift, delayed response, temperature sensitivity, or an incorrect measurement. Simply returning the pointer to zero does not restore the physical integrity or metrological performance of the assembly.;Hydraulic pressure transmission, fluid compressibility, thermal expansion, trapped gas, and calibration of an assembled system.;A hydraulic brake system cannot be repaired by simply repositioning the brake pedal after fluid has leaked. The closed hydraulic path must be restored and air must be removed before reliable force transmission is possible.;The fill fluid is an active part of the measuring chain. If the sealed system has been opened or fluid has been lost, the complete assembly requires controlled restoration and verification.;Restoring the indication is not the same as restoring the measurement system.;Corrected;
Q008;TCK90540;Diaphragm seals and fill fluid;Beginner;True/False;If a diaphragm-seal assembly returns to zero after reassembly, that proves the system has been correctly restored.;TRUE;FALSE;;;B;Zero is only one point. A system can indicate zero and still contain too little fluid, trapped gas, leakage, or an incorrect fill. These defects may appear through span error, poor dynamic response, thermal effects, or non-repeatable behaviour when pressure is applied.;Calibration requires evaluation across the useful range, not only at zero.;A weighing scale may display zero when empty and still give the wrong result when a known mass is applied. Zero adjustment alone does not validate span or linearity.;A zero check is useful, but it cannot verify pressure transmission and performance across the measurement range.;One correct point does not validate the whole measuring function.;OK;
Q009;TCK81382;Diaphragm seals and wetted materials;Intermediate;MCQ;When choosing a diaphragm seal, should all wetted parts be in the same material to resist the fluid ?;Yes, they are all in contact with the same fluid so require the same protections.;No, they are different part so they potentially require different levels of protection ;the gasket should always be the point of focus to avoid external leaks.;;B;All part in contact are in contact with the same fluid. But, they don't have the same constraints, while the flange is a solid static bloc, the diaphragm is a thin moving part, a lot quicker to damage. Similarly a gasket is constrained so it is interesting to check.;Corrosion mechanisms, galvanic interactions, chemical compatibility, permeation, temperature, concentration, and exposure time.;if you leave both a watch movement (316L) and a plate of metal (316L) outside, they'll both corrode overtime, but the watch movement will loose it's functionnality long before the plate.;the customer is in charge of knowing what is necessary forhis process. If he reuire guidance we can help but we will never have the complete process overview.;Compatibility belongs to the complete wetted system, each component is different.;Corrected;
Q010;TCK84367;Sour service and material compatibility;Intermediate;MCQ;A customer proposes 316L stainless steel for sour-gas service because stainless steel is generally corrosion resistant. What is the most appropriate response?;Accept it because stainless steel is suitable for every corrosive service;Reject all stainless steels for every sour-gas application;Suggest Monel wetted parts which is best for corrosion.;Suggest HC276 wetted parts and gold plated diaphragm.;D;Sour service may involve damage mechanisms that are not predicted by general corrosion resistance alone. Suitability can depend on hydrogen sulfide exposure, pressure, temperature, material strength and hardness, heat treatment, stress, fabrication, and the applicable service requirements. Sour gas treatment also often imply Hydrogen induced cracking;Environment-assisted cracking, hydrogen-related damage, stress concentration, and the interaction between material properties and service conditions.;A safety rope may look clean and free from surface corrosion while having internal fibre damage that reduces its strength. A good surface appearance does not prove structural integrity.;316L cannot be approved or rejected, sour gas can be diluted or at low pressure and temperature which is fine. But being a mortal gas for human and with the usual sour gas being high temperature, offering a good safety (gold for H2 protection + HC sour gas resistance) is important.;Corrosion resistance does not guarantee resistance to every damage mechanism.;Corrected;
